County,Month,Year,Application Status,Number of Applications
Siskiyou,10,2010,Total applications/restorations on hand,145
Siskiyou,10,2011,Applications denied,23
Siskiyou,10,2011,Applications/requests for restoration received,73
Siskiyou,10,2011,Applications/restorations approved,46
Siskiyou,10,2011,Total applications/restorations on hand,142
Siskiyou,10,2012,Applications denied,35
Siskiyou,10,2012,Applications/requests for restoration received,101
Siskiyou,10,2012,Applications/restorations approved,52
Siskiyou,10,2012,Total applications/restorations on hand,148
Siskiyou,10,2013,Applications denied,48
Siskiyou,10,2013,Applications/requests for restoration received,102
Siskiyou,10,2013,Applications/restorations approved,38
Siskiyou,10,2013,Total applications/restorations on hand,130
Siskiyou,10,2014,Applications denied,37
Siskiyou,10,2014,Applications/requests for restoration received,74
Siskiyou,10,2014,Applications/restorations approved,29
Siskiyou,10,2014,Total applications/restorations on hand,108
Siskiyou,11,2010,Applications denied,19
Siskiyou,11,2010,Applications/requests for restoration received,77
Siskiyou,11,2010,Applications/restorations approved,41
Siskiyou,11,2010,Total applications/restorations on hand,138
Siskiyou,11,2011,Applications denied,30
Siskiyou,11,2011,Applications/requests for restoration received,94
Siskiyou,11,2011,Applications/restorations approved,36
Siskiyou,11,2011,Total applications/restorations on hand,155
Siskiyou,11,2012,Applications denied,43
Siskiyou,11,2012,Applications/requests for restoration received,109
Siskiyou,11,2012,Applications/restorations approved,45
Siskiyou,11,2012,Total applications/restorations on hand,155
Siskiyou,11,2013,Applications denied,42
Siskiyou,11,2013,Applications/requests for restoration received,99
Siskiyou,11,2013,Applications/restorations approved,42
Siskiyou,11,2013,Total applications/restorations on hand,128
Siskiyou,11,2014,Applications denied,34
Siskiyou,11,2014,Applications/requests for restoration received,71
Siskiyou,11,2014,Applications/restorations approved,31
Siskiyou,11,2014,Total applications/restorations on hand,102
Siskiyou,12,2010,Applications denied,31
Siskiyou,12,2010,Applications/requests for restoration received,107
Siskiyou,12,2010,Applications/restorations approved,54
Siskiyou,12,2010,Total applications/restorations on hand,170
Siskiyou,12,2011,Applications denied,43
Siskiyou,12,2011,Applications/requests for restoration received,101
Siskiyou,12,2011,Applications/restorations approved,61
Siskiyou,12,2011,Total applications/restorations on hand,171
Siskiyou,12,2012,Applications denied,38
Siskiyou,12,2012,Applications/requests for restoration received,77
Siskiyou,12,2012,Applications/restorations approved,25
Siskiyou,12,2012,Total applications/restorations on hand,131
Siskiyou,12,2013,Applications denied,53
Siskiyou,12,2013,Applications/requests for restoration received,98
Siskiyou,12,2013,Applications/restorations approved,47
Siskiyou,12,2013,Total applications/restorations on hand,134
Siskiyou,12,2014,Applications denied,31
Siskiyou,12,2014,Applications/requests for restoration received,78
Siskiyou,12,2014,Applications/restorations approved,44
Siskiyou,12,2014,Total applications/restorations on hand,108
Siskiyou,2,2010,Applications denied,18
Siskiyou,2,2010,Applications/requests for restoration received,71
Siskiyou,2,2010,Applications/restorations approved,32
Siskiyou,2,2010,Total applications/restorations on hand,169
Siskiyou,2,2011,Applications denied,21
Siskiyou,2,2011,Applications/requests for restoration received,58
Siskiyou,2,2011,Applications/restorations approved,31
Siskiyou,2,2011,Total applications/restorations on hand,122
Siskiyou,2,2012,Applications denied,34
Siskiyou,2,2012,Applications/requests for restoration received,74
Siskiyou,2,2012,Applications/restorations approved,29
Siskiyou,2,2012,Total applications/restorations on hand,129
Siskiyou,2,2013,Applications denied,32
Siskiyou,2,2013,Applications/requests for restoration received,86
Siskiyou,2,2013,Applications/restorations approved,33
Siskiyou,2,2013,Total applications/restorations on hand,145
Siskiyou,2,2014,Applications denied,65
Siskiyou,2,2014,Applications/requests for restoration received,83
Siskiyou,2,2014,Applications/restorations approved,32
Siskiyou,2,2014,Total applications/restorations on hand,129
Siskiyou,2,2015,Applications denied,51
Siskiyou,2,2015,Applications/requests for restoration received,73
Siskiyou,2,2015,Applications/restorations approved,24
Siskiyou,2,2015,Total applications/restorations on hand,103
Siskiyou,3,2010,Applications denied,17
Siskiyou,3,2010,Applications/requests for restoration received,66
Siskiyou,3,2010,Applications/restorations approved,35
Siskiyou,3,2010,Total applications/restorations on hand,175
Siskiyou,3,2011,Applications denied,20
Siskiyou,3,2011,Applications/requests for restoration received,74
Siskiyou,3,2011,Applications/restorations approved,33
Siskiyou,3,2011,Total applications/restorations on hand,127
Siskiyou,3,2012,Applications denied,24
Siskiyou,3,2012,Applications/requests for restoration received,66
Siskiyou,3,2012,Applications/restorations approved,44
Siskiyou,3,2012,Total applications/restorations on hand,122
Siskiyou,3,2013,Applications denied,47
Siskiyou,3,2013,Applications/requests for restoration received,79
Siskiyou,3,2013,Applications/restorations approved,34
Siskiyou,3,2013,Total applications/restorations on hand,112
Siskiyou,3,2014,Applications denied,49
Siskiyou,3,2014,Applications/requests for restoration received,103
Siskiyou,3,2014,Applications/restorations approved,30
Siskiyou,3,2014,Total applications/restorations on hand,131
Siskiyou,3,2015,Applications denied,29
Siskiyou,3,2015,Applications/requests for restoration received,67
Siskiyou,3,2015,Applications/restorations approved,30
Siskiyou,3,2015,Total applications/restorations on hand,89
Siskiyou,4,2010,Applications denied,20
Siskiyou,4,2010,Applications/requests for restoration received,81
Siskiyou,4,2010,Applications/restorations approved,38
Siskiyou,4,2010,Total applications/restorations on hand,192
Siskiyou,4,2011,Applications denied,29
Siskiyou,4,2011,Applications/requests for restoration received,75
Siskiyou,4,2011,Applications/restorations approved,32
Siskiyou,4,2011,Total applications/restorations on hand,134
Siskiyou,4,2012,Applications denied,39
Siskiyou,4,2012,Applications/requests for restoration received,106
Siskiyou,4,2012,Applications/restorations approved,51
Siskiyou,4,2012,Total applications/restorations on hand,154
Siskiyou,4,2013,Applications denied,25
Siskiyou,4,2013,Applications/requests for restoration received,57
Siskiyou,4,2013,Applications/restorations approved,31
Siskiyou,4,2013,Total applications/restorations on hand,72
Siskiyou,4,2014,Applications denied,41
Siskiyou,4,2014,Applications/requests for restoration received,82
Siskiyou,4,2014,Applications/restorations approved,42
Siskiyou,4,2014,Total applications/restorations on hand,125
Siskiyou,4,2015,Applications denied,35
Siskiyou,4,2015,Applications/requests for restoration received,79
Siskiyou,4,2015,Applications/restorations approved,25
Siskiyou,4,2015,Total applications/restorations on hand,105
Siskiyou,5,2010,Applications denied,20
Siskiyou,5,2010,Applications/requests for restoration received,65
Siskiyou,5,2010,Applications/restorations approved,37
Siskiyou,5,2010,Total applications/restorations on hand,180
Siskiyou,5,2011,Applications denied,34
Siskiyou,5,2011,Applications/requests for restoration received,84
Siskiyou,5,2011,Applications/restorations approved,41
Siskiyou,5,2011,Total applications/restorations on hand,150
Siskiyou,5,2012,Applications denied,38
Siskiyou,5,2012,Applications/requests for restoration received,94
Siskiyou,5,2012,Applications/restorations approved,45
Siskiyou,5,2012,Total applications/restorations on hand,151
Siskiyou,5,2013,Applications denied,39
Siskiyou,5,2013,Applications/requests for restoration received,79
Siskiyou,5,2013,Applications/restorations approved,28
Siskiyou,5,2013,Total applications/restorations on hand,91
Siskiyou,5,2014,Applications denied,35
Siskiyou,5,2014,Applications/requests for restoration received,65
Siskiyou,5,2014,Applications/restorations approved,33
Siskiyou,5,2014,Total applications/restorations on hand,92
Siskiyou,5,2015,Applications denied,51
Siskiyou,5,2015,Applications/requests for restoration received,82
Siskiyou,5,2015,Applications/restorations approved,44
Siskiyou,5,2015,Total applications/restorations on hand,120
Siskiyou,6,2010,Applications denied,37
Siskiyou,6,2010,Applications/requests for restoration received,122
Siskiyou,6,2010,Applications/restorations approved,26
Siskiyou,6,2010,Total applications/restorations on hand,146
Siskiyou,6,2011,Applications denied,38
Siskiyou,6,2011,Applications/requests for restoration received,88
Siskiyou,6,2011,Applications/restorations approved,29
Siskiyou,6,2011,Total applications/restorations on hand,154
Siskiyou,6,2012,Applications denied,28
Siskiyou,6,2012,Applications/requests for restoration received,77
Siskiyou,6,2012,Applications/restorations approved,34
Siskiyou,6,2012,Total applications/restorations on hand,126
Siskiyou,6,2013,Applications denied,36
Siskiyou,6,2013,Applications/requests for restoration received,74
Siskiyou,6,2013,Applications/restorations approved,34
Siskiyou,6,2013,Total applications/restorations on hand,89
Siskiyou,6,2014,Applications denied,36
Siskiyou,6,2014,Applications/requests for restoration received,90
Siskiyou,6,2014,Applications/restorations approved,26
Siskiyou,6,2014,Total applications/restorations on hand,104
Siskiyou,6,2015,Applications denied,28
Siskiyou,6,2015,Applications/requests for restoration received,82
Siskiyou,6,2015,Applications/restorations approved,23
Siskiyou,6,2015,Total applications/restorations on hand,100
Siskiyou,7,2010,Applications denied,25
Siskiyou,7,2010,Applications/requests for restoration received,80
Siskiyou,7,2010,Applications/restorations approved,34
Siskiyou,7,2010,Total applications/restorations on hand,113
Siskiyou,7,2011,Applications denied,35
Siskiyou,7,2011,Applications/requests for restoration received,76
Siskiyou,7,2011,Applications/restorations approved,28
Siskiyou,7,2011,Total applications/restorations on hand,151
Siskiyou,7,2012,Applications denied,38
Siskiyou,7,2012,Applications/requests for restoration received,103
Siskiyou,7,2012,Applications/restorations approved,50
Siskiyou,7,2012,Total applications/restorations on hand,156
Siskiyou,7,2013,Applications denied,36
Siskiyou,7,2013,Applications/requests for restoration received,86
Siskiyou,7,2013,Applications/restorations approved,35
Siskiyou,7,2013,Total applications/restorations on hand,100
Siskiyou,7,2014,Applications denied,53
Siskiyou,7,2014,Applications/requests for restoration received,91
Siskiyou,7,2014,Applications/restorations approved,23
Siskiyou,7,2014,Total applications/restorations on hand,126
Siskiyou,7,2015,Applications denied,33
Siskiyou,7,2015,Applications/requests for restoration received,75
Siskiyou,7,2015,Applications/restorations approved,44
Siskiyou,7,2015,Total applications/restorations on hand,115
Siskiyou,8,2010,Applications denied,37
Siskiyou,8,2010,Applications/requests for restoration received,88
Siskiyou,8,2010,Applications/restorations approved,26
Siskiyou,8,2010,Total applications/restorations on hand,128
Siskiyou,8,2011,Applications denied,34
Siskiyou,8,2011,Applications/requests for restoration received,82
Siskiyou,8,2011,Applications/restorations approved,36
Siskiyou,8,2011,Total applications/restorations on hand,160
Siskiyou,8,2012,Applications denied,34
Siskiyou,8,2012,Applications/requests for restoration received,88
Siskiyou,8,2012,Applications/restorations approved,41
Siskiyou,8,2012,Total applications/restorations on hand,144
Siskiyou,8,2013,Applications denied,39
Siskiyou,8,2013,Applications/requests for restoration received,93
Siskiyou,8,2013,Applications/restorations approved,38
Siskiyou,8,2013,Total applications/restorations on hand,112
Siskiyou,8,2014,Applications denied,44
Siskiyou,8,2014,Applications/requests for restoration received,96
Siskiyou,8,2014,Applications/restorations approved,36
Siskiyou,8,2014,Total applications/restorations on hand,136
Siskiyou,8,2015,Applications denied,31
Siskiyou,8,2015,Applications/requests for restoration received,76
Siskiyou,8,2015,Applications/restorations approved,30
Siskiyou,8,2015,Total applications/restorations on hand,111
Siskiyou,9,2010,Applications denied,11
Siskiyou,9,2010,Applications/requests for restoration received,79
Siskiyou,9,2010,Applications/restorations approved,28
Siskiyou,9,2010,Total applications/restorations on hand,126
Siskiyou,9,2011,Applications denied,34
Siskiyou,9,2011,Applications/requests for restoration received,80
Siskiyou,9,2011,Applications/restorations approved,41
Siskiyou,9,2011,Total applications/restorations on hand,159
Siskiyou,9,2012,Applications denied,25
Siskiyou,9,2012,Applications/requests for restoration received,76
Siskiyou,9,2012,Applications/restorations approved,49
Siskiyou,9,2012,Total applications/restorations on hand,133
Siskiyou,9,2013,Applications denied,55
Siskiyou,9,2013,Applications/requests for restoration received,104
Siskiyou,9,2013,Applications/restorations approved,41
Siskiyou,9,2013,Total applications/restorations on hand,131
Siskiyou,9,2014,Applications denied,43
Siskiyou,9,2014,Applications/requests for restoration received,89
Siskiyou,9,2014,Applications/restorations approved,35
Siskiyou,9,2014,Total applications/restorations on hand,129
Siskiyou,9,2015,Applications denied,39
Siskiyou,9,2015,Applications/requests for restoration received,91
Siskiyou,9,2015,Applications/restorations approved,38
Siskiyou,9,2015,Total applications/restorations on hand,129
Solano,1,2010,Applications denied,182
Solano,1,2010,Applications/requests for restoration received,521
Solano,1,2010,Applications/restorations approved,263
Solano,1,2010,Total applications/restorations on hand,774
Solano,1,2011,Applications denied,183
Solano,1,2011,Applications/requests for restoration received,528
Solano,1,2011,Applications/restorations approved,262
Solano,1,2011,Total applications/restorations on hand,819
Solano,1,2012,Applications denied,173
Solano,1,2012,Applications/requests for restoration received,529
Solano,1,2012,Applications/restorations approved,173
Solano,1,2012,Total applications/restorations on hand,763
Solano,1,2013,Applications denied,205
Solano,1,2013,Applications/requests for restoration received,588
Solano,1,2013,Applications/restorations approved,226
Solano,1,2013,Total applications/restorations on hand,795
Solano,1,2014,Applications denied,137
Solano,1,2014,Applications/requests for restoration received,610
Solano,1,2014,Applications/restorations approved,248
Solano,1,2014,Total applications/restorations on hand,764
Solano,1,2015,Applications denied,173
Solano,1,2015,Applications/requests for restoration received,484
Solano,1,2015,Applications/restorations approved,191
Solano,1,2015,Total applications/restorations on hand,654
Solano,10,2010,Applications denied,230
Solano,10,2010,Applications/requests for restoration received,526
Solano,10,2010,Applications/restorations approved,285
Solano,10,2010,Total applications/restorations on hand,828
Solano,10,2011,Applications denied,176
Solano,10,2011,Applications/requests for restoration received,531
Solano,10,2011,Applications/restorations approved,230
Solano,10,2011,Total applications/restorations on hand,767
Solano,10,2012,Applications denied,269
Solano,10,2012,Applications/requests for restoration received,613
Solano,10,2012,Applications/restorations approved,271
Solano,10,2012,Total applications/restorations on hand,914
Solano,10,2013,Applications denied,248
Solano,10,2013,Applications/requests for restoration received,566
Solano,10,2013,Applications/restorations approved,235
Solano,10,2013,Total applications/restorations on hand,832
Solano,10,2014,Applications denied,168
Solano,10,2014,Applications/requests for restoration received,479
Solano,10,2014,Applications/restorations approved,168
Solano,10,2014,Total applications/restorations on hand,614
Solano,11,2010,Applications denied,198
Solano,11,2010,Applications/requests for restoration received,525
Solano,11,2010,Applications/restorations approved,231
Solano,11,2010,Total applications/restorations on hand,768
Solano,11,2011,Applications denied,174
Solano,11,2011,Applications/requests for restoration received,481
Solano,11,2011,Applications/restorations approved,201
Solano,11,2011,Total applications/restorations on hand,750
Solano,11,2012,Applications denied,198
Solano,11,2012,Applications/requests for restoration received,544
Solano,11,2012,Applications/restorations approved,222
Solano,11,2012,Total applications/restorations on hand,790
Solano,11,2013,Applications denied,181
Solano,11,2013,Applications/requests for restoration received,480
Solano,11,2013,Applications/restorations approved,222
Solano,11,2013,Total applications/restorations on hand,681
Solano,11,2014,Applications denied,117
Solano,11,2014,Applications/requests for restoration received,452
Solano,11,2014,Applications/restorations approved,157
Solano,11,2014,Total applications/restorations on hand,601
Solano,12,2010,Applications denied,208
Solano,12,2010,Applications/requests for restoration received,696
Solano,12,2010,Applications/restorations approved,268
Solano,12,2010,Total applications/restorations on hand,959
Solano,12,2011,Applications denied,161
Solano,12,2011,Applications/requests for restoration received,473
Solano,12,2011,Applications/restorations approved,266
Solano,12,2011,Total applications/restorations on hand,753
Solano,12,2012,Applications denied,179
Solano,12,2012,Applications/requests for restoration received,521
Solano,12,2012,Applications/restorations approved,248
Solano,12,2012,Total applications/restorations on hand,770
Solano,12,2013,Applications denied,185
Solano,12,2013,Applications/requests for restoration received,500
Solano,12,2013,Applications/restorations approved,203
Solano,12,2013,Total applications/restorations on hand,646
Solano,12,2014,Applications denied,171
Solano,12,2014,Applications/requests for restoration received,522
Solano,12,2014,Applications/restorations approved,201
Solano,12,2014,Total applications/restorations on hand,621
Solano,2,2010,Applications denied,194
Solano,2,2010,Applications/requests for restoration received,439
Solano,2,2010,Applications/restorations approved,221
Solano,2,2010,Total applications/restorations on hand,702
Solano,2,2011,Applications denied,179
Solano,2,2011,Applications/requests for restoration received,448
Solano,2,2011,Applications/restorations approved,204
Solano,2,2011,Total applications/restorations on hand,731
Solano,2,2012,Applications denied,184
Solano,2,2012,Applications/requests for restoration received,406
Solano,2,2012,Applications/restorations approved,173
Solano,2,2012,Total applications/restorations on hand,729
Solano,2,2013,Applications denied,169
Solano,2,2013,Applications/requests for restoration received,399
Solano,2,2013,Applications/restorations approved,156
Solano,2,2013,Total applications/restorations on hand,631
Solano,2,2014,Applications denied,175
Solano,2,2014,Applications/requests for restoration received,305
Solano,2,2014,Applications/restorations approved,184
Solano,2,2014,Total applications/restorations on hand,644
Solano,2,2015,Applications denied,154
Solano,2,2015,Applications/requests for restoration received,402
Solano,2,2015,Applications/restorations approved,133
Solano,2,2015,Total applications/restorations on hand,598
Solano,3,2010,Applications denied,205
Solano,3,2010,Applications/requests for restoration received,503
Solano,3,2010,Applications/restorations approved,257
Solano,3,2010,Total applications/restorations on hand,752
Solano,3,2011,Applications denied,199
Solano,3,2011,Applications/requests for restoration received,554
Solano,3,2011,Applications/restorations approved,248
Solano,3,2011,Total applications/restorations on hand,792
Solano,3,2012,Applications denied,165
Solano,3,2012,Applications/requests for restoration received,463
Solano,3,2012,Applications/restorations approved,222
Solano,3,2012,Total applications/restorations on hand,730
Solano,3,2013,Applications denied,155
Solano,3,2013,Applications/requests for restoration received,467
Solano,3,2013,Applications/restorations approved,201
Solano,3,2013,Total applications/restorations on hand,666
Solano,3,2014,Applications denied,172
Solano,3,2014,Applications/requests for restoration received,349
Solano,3,2014,Applications/restorations approved,246
Solano,3,2014,Total applications/restorations on hand,667
Solano,3,2015,Applications denied,136
Solano,3,2015,Applications/requests for restoration received,464
Solano,3,2015,Applications/restorations approved,172
Solano,3,2015,Total applications/restorations on hand,586
Solano,4,2010,Applications denied,197
Solano,4,2010,Applications/requests for restoration received,528
Solano,4,2010,Applications/restorations approved,266
Solano,4,2010,Total applications/restorations on hand,758
Solano,4,2011,Applications denied,173
Solano,4,2011,Applications/requests for restoration received,523
Solano,4,2011,Applications/restorations approved,207
Solano,4,2011,Total applications/restorations on hand,780
Solano,4,2012,Applications denied,144
Solano,4,2012,Applications/requests for restoration received,446
Solano,4,2012,Applications/restorations approved,204
Solano,4,2012,Total applications/restorations on hand,694
Solano,4,2013,Applications denied,167
Solano,4,2013,Applications/requests for restoration received,534
Solano,4,2013,Applications/restorations approved,221
Solano,4,2013,Total applications/restorations on hand,722
Solano,4,2014,Applications denied,139
Solano,4,2014,Applications/requests for restoration received,488
Solano,4,2014,Applications/restorations approved,196
Solano,4,2014,Total applications/restorations on hand,677
Solano,4,2015,Applications denied,152
Solano,4,2015,Applications/requests for restoration received,507
Solano,4,2015,Applications/restorations approved,207
Solano,4,2015,Total applications/restorations on hand,639
Solano,5,2010,Applications denied,197
Solano,5,2010,Applications/requests for restoration received,442
Solano,5,2010,Applications/restorations approved,231
Solano,5,2010,Total applications/restorations on hand,670
Solano,5,2011,Applications denied,168
Solano,5,2011,Applications/requests for restoration received,473
Solano,5,2011,Applications/restorations approved,236
Solano,5,2011,Total applications/restorations on hand,763
Solano,5,2012,Applications denied,158
Solano,5,2012,Applications/requests for restoration received,546
Solano,5,2012,Applications/restorations approved,227
Solano,5,2012,Total applications/restorations on hand,785
Solano,5,2013,Applications denied,175
Solano,5,2013,Applications/requests for restoration received,508
Solano,5,2013,Applications/restorations approved,210
Solano,5,2013,Total applications/restorations on hand,721
Solano,5,2014,Applications denied,155
Solano,5,2014,Applications/requests for restoration received,508
Solano,5,2014,Applications/restorations approved,214
Solano,5,2014,Total applications/restorations on hand,725
Solano,5,2015,Applications denied,133
Solano,5,2015,Applications/requests for restoration received,410
Solano,5,2015,Applications/restorations approved,166
Solano,5,2015,Total applications/restorations on hand,544
Solano,6,2010,Applications denied,206
Solano,6,2010,Applications/requests for restoration received,631
Solano,6,2010,Applications/restorations approved,220
Solano,6,2010,Total applications/restorations on hand,816
Solano,6,2011,Applications denied,176
Solano,6,2011,Applications/requests for restoration received,516
Solano,6,2011,Applications/restorations approved,220
Solano,6,2011,Total applications/restorations on hand,769
Solano,6,2012,Applications denied,226
Solano,6,2012,Applications/requests for restoration received,615
Solano,6,2012,Applications/restorations approved,225
Solano,6,2012,Total applications/restorations on hand,898
Solano,6,2013,Applications denied,202
Solano,6,2013,Applications/requests for restoration received,507
Solano,6,2013,Applications/restorations approved,191
Solano,6,2013,Total applications/restorations on hand,721
Solano,6,2014,Applications denied,168
Solano,6,2014,Applications/requests for restoration received,542
Solano,6,2014,Applications/restorations approved,223
Solano,6,2014,Total applications/restorations on hand,734
Solano,6,2015,Applications denied,128
Solano,6,2015,Applications/requests for restoration received,478
Solano,6,2015,Applications/restorations approved,159
Solano,6,2015,Total applications/restorations on hand,565
Solano,7,2010,Applications denied,214
Solano,7,2010,Applications/requests for restoration received,662
Solano,7,2010,Applications/restorations approved,333
Solano,7,2010,Total applications/restorations on hand,974
Solano,7,2011,Applications denied,179
Solano,7,2011,Applications/requests for restoration received,540
Solano,7,2011,Applications/restorations approved,197
Solano,7,2011,Total applications/restorations on hand,815
Solano,7,2012,Applications denied,214
Solano,7,2012,Applications/requests for restoration received,594
Solano,7,2012,Applications/restorations approved,234
Solano,7,2012,Total applications/restorations on hand,896
Solano,7,2013,Applications denied,202
Solano,7,2013,Applications/requests for restoration received,626
Solano,7,2013,Applications/restorations approved,259
Solano,7,2013,Total applications/restorations on hand,843
Solano,7,2014,Applications denied,163
Solano,7,2014,Applications/requests for restoration received,557
Solano,7,2014,Applications/restorations approved,202
Solano,7,2014,Total applications/restorations on hand,709
Solano,7,2015,Applications denied,142
Solano,7,2015,Applications/requests for restoration received,562
Solano,7,2015,Applications/restorations approved,205
Solano,7,2015,Total applications/restorations on hand,674
Solano,8,2010,Applications denied,225
Solano,8,2010,Applications/requests for restoration received,604
Solano,8,2010,Applications/restorations approved,289
Solano,8,2010,Total applications/restorations on hand,952
Solano,8,2011,Applications denied,235
Solano,8,2011,Applications/requests for restoration received,550
Solano,8,2011,Applications/restorations approved,233
Solano,8,2011,Total applications/restorations on hand,884
Solano,8,2012,Applications denied,252
Solano,8,2012,Applications/requests for restoration received,666
Solano,8,2012,Applications/restorations approved,241
Solano,8,2012,Total applications/restorations on hand,957
Solano,8,2013,Applications denied,189
Solano,8,2013,Applications/requests for restoration received,625
Solano,8,2013,Applications/restorations approved,221
Solano,8,2013,Total applications/restorations on hand,864
Solano,8,2014,Applications denied,172
Solano,8,2014,Applications/requests for restoration received,558
Solano,8,2014,Applications/restorations approved,213
Solano,8,2014,Total applications/restorations on hand,714
Solano,8,2015,Applications denied,162
Solano,8,2015,Applications/requests for restoration received,598
Solano,8,2015,Applications/restorations approved,202
Solano,8,2015,Total applications/restorations on hand,755
Solano,9,2010,Applications denied,235
Solano,9,2010,Applications/requests for restoration received,533
Solano,9,2010,Applications/restorations approved,282
Solano,9,2010,Total applications/restorations on hand,879
Solano,9,2011,Applications denied,197
Solano,9,2011,Applications/requests for restoration received,445
Solano,9,2011,Applications/restorations approved,267
Solano,9,2011,Total applications/restorations on hand,776
Solano,9,2012,Applications denied,199
Solano,9,2012,Applications/requests for restoration received,566
Solano,9,2012,Applications/restorations approved,230
Solano,9,2012,Total applications/restorations on hand,833
Solano,9,2013,Applications denied,204
Solano,9,2013,Applications/requests for restoration received,543
Solano,9,2013,Applications/restorations approved,217
Solano,9,2013,Total applications/restorations on hand,826
Solano,9,2014,Applications denied,172
Solano,9,2014,Applications/requests for restoration received,502
Solano,9,2014,Applications/restorations approved,189
Solano,9,2014,Total applications/restorations on hand,667
Solano,9,2015,Applications denied,188
Solano,9,2015,Applications/requests for restoration received,526
Solano,9,2015,Applications/restorations approved,206
Solano,9,2015,Total applications/restorations on hand,731
Sonoma,1,2010,Applications denied,116
Sonoma,1,2010,Applications/requests for restoration received,434
Sonoma,1,2010,Applications/restorations approved,211
Sonoma,1,2010,Total applications/restorations on hand,522
Sonoma,1,2011,Applications denied,119
Sonoma,1,2011,Applications/requests for restoration received,404
Sonoma,1,2011,Applications/restorations approved,227
Sonoma,1,2011,Total applications/restorations on hand,524
Sonoma,1,2012,Applications denied,140
Sonoma,1,2012,Applications/requests for restoration received,395
Sonoma,1,2012,Applications/restorations approved,172
Sonoma,1,2012,Total applications/restorations on hand,472
Sonoma,1,2013,Applications denied,135
Sonoma,1,2013,Applications/requests for restoration received,358
Sonoma,1,2013,Applications/restorations approved,163
Sonoma,1,2013,Total applications/restorations on hand,392
Sonoma,1,2014,Applications denied,111
Sonoma,1,2014,Applications/requests for restoration received,357
Sonoma,1,2014,Applications/restorations approved,162
Sonoma,1,2014,Total applications/restorations on hand,418
Sonoma,1,2015,Applications denied,86
Sonoma,1,2015,Applications/requests for restoration received,271
Sonoma,1,2015,Applications/restorations approved,124
Sonoma,1,2015,Total applications/restorations on hand,320
Sonoma,10,2010,Applications denied,128
Sonoma,10,2010,Applications/requests for restoration received,335
Sonoma,10,2010,Applications/restorations approved,210
Sonoma,10,2010,Total applications/restorations on hand,472
Sonoma,10,2011,Applications denied,122
Sonoma,10,2011,Applications/requests for restoration received,360
Sonoma,10,2011,Applications/restorations approved,190
Sonoma,10,2011,Total applications/restorations on hand,475
Sonoma,10,2012,Applications denied,134
Sonoma,10,2012,Applications/requests for restoration received,355
Sonoma,10,2012,Applications/restorations approved,181
Sonoma,10,2012,Total applications/restorations on hand,384
Sonoma,10,2013,Applications denied,117
Sonoma,10,2013,Applications/requests for restoration received,293
Sonoma,10,2013,Applications/restorations approved,136
Sonoma,10,2013,Total applications/restorations on hand,358
Sonoma,10,2014,Applications denied,91
Sonoma,10,2014,Applications/requests for restoration received,256
Sonoma,10,2014,Applications/restorations approved,115
Sonoma,10,2014,Total applications/restorations on hand,307
Sonoma,11,2010,Applications denied,91
Sonoma,11,2010,Applications/requests for restoration received,355
Sonoma,11,2010,Applications/restorations approved,206
Sonoma,11,2010,Total applications/restorations on hand,451
Sonoma,11,2011,Applications denied,127
Sonoma,11,2011,Applications/requests for restoration received,382
Sonoma,11,2011,Applications/restorations approved,189
Sonoma,11,2011,Total applications/restorations on hand,424
Sonoma,11,2012,Applications denied,107
Sonoma,11,2012,Applications/requests for restoration received,314
Sonoma,11,2012,Applications/restorations approved,135
Sonoma,11,2012,Total applications/restorations on hand,370
Sonoma,11,2013,Applications denied,109
Sonoma,11,2013,Applications/requests for restoration received,278
Sonoma,11,2013,Applications/restorations approved,129
Sonoma,11,2013,Total applications/restorations on hand,361
Sonoma,11,2014,Applications denied,70
Sonoma,11,2014,Applications/requests for restoration received,210
Sonoma,11,2014,Applications/restorations approved,92
Sonoma,11,2014,Total applications/restorations on hand,264
Sonoma,12,2010,Applications denied,106
Sonoma,12,2010,Applications/requests for restoration received,418
Sonoma,12,2010,Applications/restorations approved,260
Sonoma,12,2010,Total applications/restorations on hand,532
Sonoma,12,2011,Applications denied,118
Sonoma,12,2011,Applications/requests for restoration received,324
Sonoma,12,2011,Applications/restorations approved,189
Sonoma,12,2011,Total applications/restorations on hand,409
Sonoma,12,2012,Applications denied,117
Sonoma,12,2012,Applications/requests for restoration received,318
Sonoma,12,2012,Applications/restorations approved,145
Sonoma,12,2012,Total applications/restorations on hand,401
Sonoma,12,2013,Applications denied,131
Sonoma,12,2013,Applications/requests for restoration received,308
Sonoma,12,2013,Applications/restorations approved,146
Sonoma,12,2013,Total applications/restorations on hand,371
Sonoma,12,2014,Applications denied,102
Sonoma,12,2014,Applications/requests for restoration received,270
Sonoma,12,2014,Applications/restorations approved,143
Sonoma,12,2014,Total applications/restorations on hand,342
Sonoma,2,2010,Applications denied,92
Sonoma,2,2010,Applications/requests for restoration received,320
Sonoma,2,2010,Applications/restorations approved,212
Sonoma,2,2010,Total applications/restorations on hand,459
Sonoma,2,2011,Applications denied,77
Sonoma,2,2011,Applications/requests for restoration received,258
Sonoma,2,2011,Applications/restorations approved,183
Sonoma,2,2011,Total applications/restorations on hand,366
Sonoma,2,2012,Applications denied,112
Sonoma,2,2012,Applications/requests for restoration received,326
Sonoma,2,2012,Applications/restorations approved,151
